Category,Species,Variety,Size,Container,Price
Drzewa i krzewy liściaste,Quercus robur (Dąb szypułkowy),Fastigiata,150-170,5,80
Drzewa i krzewy liściaste,Quercus rubra (Dąb czerwony),,80-120,3,15
Drzewa i krzewy liściaste,Frisia (żółtolistna),,Pa 150,10,140
Drzewa i krzewy liściaste,Purple Robe (kw. różowe),,180,10,90
Drzewa i krzewy liściaste,Purple Robe (kw. różowe),Umbraculifera,Pa 180,20,180
Drzewa i krzewy liściaste,Rosa rugosa (Róża pomarszczona),,30-40,3,15
Drzewa i krzewy liściaste,Salix caprea (Wierzba iwa),Kilmarnock,Pa 140,5,50
Drzewa i krzewy liściaste,Salix integra (Wierzba integra),Hakuro-nishiki,Pa 95,3-5,50
Drzewa i krzewy liściaste,Salix Erytroflexuosa (Wierzba mandżurska),,180-250,10,50
Drzewa i krzewy liściaste,Salix (Wierzba sachalińska),Sekka,150-180,5,25
Drzewa i krzewy liściaste,Sambucuc nigra (Bez czarny),Black Lace,30-50,3,35
Drzewa i krzewy liściaste,Sorbus aucuparia (Jarząb pospolity),,150-180,5,20
Drzewa i krzewy liściaste,Sorbus aucuparia (Jarząb pospolity),,250,"7,5",90
Drzewa i krzewy liściaste,Sorbus intermedia (Jarząb szwedzki),,180,5,45
Drzewa i krzewy liściaste,Sorbus koehneana (Jarząb Koehnego),-białe owoce!,Pa 130,12,120
Drzewa i krzewy liściaste,Spirea cinerea (Tawuła wczesna),Grefsheim,,2,15
Drzewa i krzewy liściaste,Spirea japonica (Tawuła japońska),Goldflame,,2,14
Drzewa i krzewy liściaste,Spirea japonica (Tawuła japońska),Goldmound,,2,14
Drzewa i krzewy liściaste,Spirea japonica (Tawuła japońska),Little Princess,,2,14
Drzewa i krzewy liściaste,Spirea vanhouttei (Tawuła van Houtte'a),,60-80,2,14
Drzewa i krzewy liściaste,Syringa meyeri (Lilak Meyera),Palibin,30-40,3,30
Drzewa i krzewy liściaste,Syringa meyeri (Lilak Meyera),Palibin,-szczepiony Pa 40,3,50
Drzewa i krzewy liściaste,Syringa meyeri (Lilak Meyera),Palibin,-szczepiony Pa 90,5,80
Drzewa i krzewy liściaste,"Syringa vulgaris (Lilak pospolity, tzw. „bez”)","Charles Joly, Katherine Havemeyer, Krasavica Moskwy, Sensation",60,5,55
